,0,1,2,3,4
0,25.2653,55.2925,2022-02-24 09:00:00,2022-02,299.44
1,27.9674,34.4116,2022-02-23 13:00:00,2022-02,300.27
2,27.9674,34.4116,2022-02-24 09:00:00,2022-02,300.27
3,27.9674,34.4116,2022-02-24 10:00:00,2022-02,300.27
4,27.9674,34.4116,2022-02-23 12:00:00,2022-02,300.27
5,28.6517,77.2219,2022-02-24 09:00:00,2022-02,299.12
6,28.6517,77.2219,2022-02-22 09:00:00,2022-02,299.12
7,28.6517,77.2219,2022-02-22 10:00:00,2022-02,299.12
8,28.6517,77.2219,2022-02-21 09:00:00,2022-02,299.12
9,28.6517,77.2219,2022-02-24 10:00:00,2022-02,299.12
10,30.0444,31.2357,2022-02-23 13:00:00,2022-02,298.75
11,35.6828,139.7595,2022-02-24 06:00:00,2022-02,282.58
12,36.7015,-118.756,2022-02-20 19:00:00,2022-02,277.22
13,40.4167,-3.7036,2022-02-22 16:00:00,2022-02,292.79
14,41.8933,12.4829,2022-02-23 14:00:00,2022-02,292.56
15,48.8589,2.32,2022-02-20 13:00:00,2022-02,285.79
16,51.5073,-0.1276,2022-02-22 12:00:00,2022-02,286.32
